203,45:54.250N,15:00.166E,270M,T,TREBNJE MOTELOBG,
204,46:40.133N,13:51.383E,540M,T,TREFFEN CHURCH,
205,46:52.083N,14:27.716E,591M,T,TREIBACH BR X GU,
206,46:11.750N,15:14.050E,231M,T,TREMARJE,
207,46:11.200N,14:53.166E,527M,T,TROJANE,
208,46:21.066N,14:17.333E,527M,T,TRZIC,
209,46:54.850N,14:50.883E,643M,T,TWIMBERG CHURCH,
210,46:29.033N,14:57.566E,1581M,T,URSLJA GORA TV,
211,46:17.566N,16:23.083E,154M,T,VARAZDIN,
212,46:12.533N,16:25.366E,193M,T,VARAZDINSKE TOP,
213,45:38.666N,16:07.750E,90M,T,VELIKA GORICA BU,
214,46:18.300N,14:36.500E,527M,T,VELIKA PLANINA,
215,46:18.233N,14:37.583E,1221M,T,VELIKA PLANINA S,
216,46:35.250N,16:11.133E,180M,T,VERZEJ ZELEZNISK,
217,46:34.650N,13:50.383E,514M,T,VILLACH AUEN A2X,
218,46:37.066N,13:50.516E,501M,T,VILLACH EY,
219,45:53.250N,16:18.466E,103M,T,VOR ZAGREB,
220,45:53.200N,16:25.483E,129M,T,VRBOV,
221,45:58.083N,14:18.083E,283M,T,VRHNIKA MOST PRE,
222,46:46.366N,13:58.816E,938M,T,WEISSENBACH KIRC,
223,46:50.916N,14:11.500E,707M,T,WEITENSFELD KIRC,
224,46:49.066N,14:49.533E,437M,T,WOLFSBERG,
225,46:50.050N,14:39.550E,1838M,T,WOLFSBERGER HUET,
226,46:31.100N,13:45.100E,1092M,T,KORENSKO SEDLO,
227,46:08.666N,15:00.116E,321M,T,ZAGORJE,
228,45:44.583N,16:04.116E,103M,T,ZAGREB,
229,45:46.150N,15:51.433E,116M,T,ZAGREB LUCKO,
230,46:28.283N,14:23.283E,925M,T,ZELL PFARRE KIRC,
231,46:13.383N,14:46.133E,540M,T,ZGORNJI TUHINJ,
232,46:18.750N,15:29.250E,270M,T,ZICE LOC,
233,46:05.100N,15:10.400E,206M,T,ZIDANI MOST CEST,
234,46:02.550N,14:06.416E,476M,T,ZIRI MOST BRIDGE,
235,46:22.350N,15:23.666E,386M,T,ZRECE STADION,
236,46:02.933N,14:30.531E,296M,T,LJUBLJANA,
237,45:52.592N,14:36.431E,488M,T,TURJAK,
238,46:22.193N,14:06.049E,565M,T,BLEJSKI GRAD,
239,46:21.729N,14:05.384E,476M,T,BLEJSKA CERKEV,
240,46:22.935N,14:12.974E,733M,T,KAMEN,
241,45:48.972N,14:07.567E,591M,T,POSTOJNA,
242,46:17.364N,15:36.006E,874M,T,BOÈ,
243,45:55.714N,14:28.261E,1079M,T,KRIM,
244,46:17.886N,14:32.048E,1748M,T,KRVAVEC,
245,46:05.268N,15:04.333E,1144M,T,KUM,
246,46:04.080N,15:17.098E,900M,T,LISCA,
247,45:46.368N,14:03.238E,1247M,T,NANOS,
248,46:29.084N,14:57.885E,1670M,T,PLESIVEC,
249,46:30.953N,15:34.727E,1002M,T,BOLFENK,
250,45:45.548N,15:19.240E,1169M,T,TRDINOV VRH,
251,46:25.881N,14:31.519E,1683M,T,PRISTOVSKI STORZ,
252,46:20.994N,14:24.275E,1966M,T,STORZIC,
253,46:30.376N,13:57.029E,2030M,T,KEPA,
254,46:21.284N,14:35.272E,2184M,T,BRANA,
255,46:16.300N,13:57.333E,514M,T,BOHINJSKABISTRIC,
256,46:14.150N,15:15.100E,231M,T,CELJE,
257,45:47.650N,14:21.933E,565M,T,CERKNICA,
258,46:07.750N,13:59.283E,334M,T,CERKNO,
259,46:35.150N,15:01.217E,334M,T,DRAVOGRAD,
260,46:40.767N,15:59.583E,219M,T,GORNJARADGONA,
261,45:57.317N,14:39.483E,334M,T,GROSUPLJE,
262,46:00.167N,14:01.567E,347M,T,IDRIJA,
263,45:57.467N,14:31.850E,283M,T,IG,
264,46:26.150N,14:03.033E,578M,T,JESENICE,
265,46:12.850N,14:36.317E,360M,T,KAMNIK,
266,46:37.233N,14:18.533E,450M,T,KLAGENFURT,
267,46:14.417N,14:21.333E,386M,T,KRANJ,
268,46:29.117N,13:47.050E,797M,T,KRANJSKAGORA,
269,45:57.417N,15:29.650E,154M,T,KRSKO,
270,46:49.867N,15:31.933E,270M,T,LEIBNITZ,
271,46:03.517N,14:49.433E,257M,T,LITIJA,
272,45:55.050N,14:13.817E,476M,T,LOGATEC,
273,46:33.183N,15:38.517E,270M,T,MARIBOR,
274,46:27.750N,13:56.333E,643M,T,MOJSTRANA,
275,46:19.167N,14:56.733E,334M,T,MOZIRJE,
276,46:39.367N,16:09.850E,180M,T,MURSKASOBOTA,
277,45:47.817N,15:10.133E,167M,T,NOVOMESTO,
278,46:16.650N,15:04.267E,283M,T,POLZELA,
279,45:46.483N,14:12.983E,553M,T,POSTOJNA,
280,46:25.483N,15:52.650E,231M,T,PTUJ,
