173,51:24.914N,1:30.939W,101M,T,Hungerford,
174,51:27.172N,1:28.972W,158M,T,Hungerford North,
175,51:16.568N,1:27.182W,101M,T,Hurstbourne Tarr,
176,51:31.503N,1:17.455W,127M,T,Ilsley,
177,51:49.556N,1:14.291W,65M,T,Islip,
178,51:18.192N,0:05.713W,173M,T,Kenley,
179,52:22.793N,0:43.116W,68M,T,Kettering,
180,52:22.336N,0:42.847W,79M,T,Kettering South,
181,52:24.611N,2:15.081W,39M,T,Kidderminster,
182,52:09.387N,1:30.599W,88M,T,Kineton,
183,51:54.098N,1:37.664W,111M,T,Kingham,
184,51:19.786N,1:15.018W,100M,T,Kingsclere,
185,51:41.120N,1:24.743W,80M,T,Kingston Bagpuiz,
186,51:02.471N,2:49.181W,20M,T,Langport,
187,52:02.657N,2:26.155W,54M,T,Ledbury,
188,52:37.123N,1:12.353W,93M,T,Leicester M1 Ser,
189,52:41.946N,1:05.038W,56M,T,Leicester North,
190,52:32.155N,1:10.780W,105M,T,Leicester South,
191,51:54.078N,0:38.912W,88M,T,Leighton Buzzard,
192,52:13.896N,2:44.002W,70M,T,Leominster,
193,52:16.058N,2:50.659W,97M,T,Leominster NW,
194,51:05.089N,0:48.383W,102M,T,Liphook,
195,51:03.579N,0:53.987W,70M,T,Liss,
196,51:09.999N,2:11.351W,118M,T,Longbridge Dever,
197,51:11.090N,2:16.343W,115M,T,Longleat,
198,52:06.509N,1:45.437W,60M,T,Lower Clopton,
199,52:22.056N,2:43.424W,91M,T,Ludlow,
200,52:26.987N,1:11.502W,120M,T,Lutterworth,
201,51:35.449N,2:05.341W,91M,T,Malmesbury,
202,52:38.185N,0:42.294W,89M,T,Manton,
203,52:33.308N,0:06.196E,3M,T,March,
204,52:41.175N,0:19.579W,10M,T,Market Deeping,
205,52:28.733N,0:54.588W,83M,T,Market Harboroug,
206,51:24.978N,1:43.975W,129M,T,Marlborough,
207,52:41.335N,1:32.897W,101M,T,Measham,
208,51:22.746N,2:08.705W,37M,T,Melksham,
209,52:48.068N,0:48.035W,137M,T,Melton Mast,
210,52:45.656N,0:52.983W,75M,T,Melton Mowbray,
211,51:28.927N,1:33.385W,207M,T,Membury,
212,51:05.360N,2:16.249W,108M,T,Mere,
213,51:10.704N,1:15.655W,113M,T,Micheldever,
214,51:01.028N,0:42.021W,191M,T,Midhurst Mast,
215,50:59.469N,0:45.458W,28M,T,Midhurst West,
216,51:48.680N,2:42.556W,17M,T,Monmouth,
217,51:59.413N,1:41.954W,128M,T,Moreton-in-marsh,
218,51:22.569N,1:03.706W,96M,T,Mortimer Church,
219,51:57.346N,0:48.785W,154M,T,Mursley,
220,51:41.719N,2:13.062W,65M,T,Nailsworth,
221,52:23.979N,0:54.978W,151M,T,Naseby East,
222,52:23.791N,1:01.861W,155M,T,Naseby West,
223,51:23.832N,1:18.514W,78M,T,Newbury Racecour,
224,51:20.881N,1:20.394W,141M,T,Newbury South,
225,51:56.038N,2:24.450W,38M,T,Newent,
226,52:05.004N,0:44.896W,69M,T,Newport Pagnall,
227,52:30.147N,0:17.612W,28M,T,Norman Cross,
228,51:42.975N,0:09.189E,87M,T,North Weald,
229,52:11.150N,0:53.719W,85M,T,Northampton Sout,
230,52:13.804N,1:00.963W,77M,T,Northampton West,
231,51:50.264N,1:50.140W,200M,T,Northleach,
232,52:15.448N,0:01.375E,22M,T,Oakington,
233,51:14.069N,0:57.063W,118M,T,Odiham,
234,52:09.008N,0:42.030W,53M,T,Olney,
235,52:29.285N,0:27.551W,24M,T,Oundle,
236,51:15.195N,1:15.841W,113M,T,Overton,
237,51:45.780N,1:11.824W,105M,T,Oxford East,
238,51:47.675N,1:17.159W,71M,T,Oxford North,
239,51:43.499N,1:14.488W,60M,T,Oxford South,
240,51:29.217N,1:05.133W,41M,T,Pangbourne,
241,52:15.394N,0:07.392W,34M,T,Papworth,
242,51:18.424N,2:30.279W,120M,T,Paulton,
243,51:59.723N,2:19.074W,41M,T,Pendock,
244,52:06.243N,2:04.281W,15M,T,Pershore se,
245,52:08.617N,2:02.452W,35M,T,Pershoreairfield,
246,52:34.408N,0:14.949W,12M,T,Peterborough,
