122,45:13.333N,122:43.600W,44M,T,Compton,
123,45:15.333N,122:39.050W,58M,T,Dietz,
124,45:19.233N,122:33.067W,123M,T,Fairways,
125,45:53.650N,122:32.883W,283M,T,McClellan,
126,45:32.967N,122:24.067W,5M,T,Portland-Troutda,
127,45:20.650N,122:31.067W,111M,T,Nielsen,
128,46:02.100N,122:53.400W,12M,T,Trojan Nuclear P,
129,45:22.350N,122:27.800W,66M,T,Big Sky Ranch,
130,45:11.933N,123:22.200W,269M,T,Mach-O Acres,
131,45:12.450N,122:40.150W,56M,T,Workman,
132,45:10.483N,122:44.367W,32M,T,Lenhardt,
133,45:19.450N,122:28.317W,130M,T,Bonney Acres,
134,45:13.000N,122:35.400W,76M,T,Mulino,
135,46:05.867N,122:51.917W,129M,T,Walters Arv,
136,45:19.500N,122:25.450W,90M,T,Warner's,
137,45:17.267N,122:27.367W,173M,T,Skyhill,
138,45:09.417N,123:23.483W,101M,T,Poverty Hollow,
139,46:06.100N,122:53.600W,9M,T,Kelso,
140,45:20.233N,122:23.850W,104M,T,McGill,
141,45:27.167N,122:19.267W,188M,T,Schmidt,
142,45:26.550N,122:19.233W,177M,T,Flying K Bar J R,
143,45:04.650N,122:55.733W,54M,T,Harchenko Indust,
144,45:55.983N,122:25.067W,521M,T,Walter Sutton's ,
145,45:21.283N,122:20.750W,135M,T,Eagle Nest Ranch,
146,45:08.500N,122:37.000W,86M,T,Skydive,
147,45:18.233N,122:21.650W,112M,T,Beaver Oaks,
148,45:03.233N,122:54.417W,56M,T,Hollin,
149,45:29.133N,122:14.033W,281M,T,Lehman,
150,45:06.167N,123:25.150W,180M,T,Sheridan,
151,45:02.983N,123:14.067W,56M,T,Vineyard,
152,45:03.500N,122:46.500W,61M,T,Mt. Angel Abbey,
153,45:01.900N,122:57.417W,57M,T,Smith,
154,45:25.100N,123:48.800W,5M,T,Tillamook,
155,45:25.833N,122:14.517W,94M,T,McKinnon,
156,45:02.017N,123:10.333W,69M,T,Plum Valley,
157,45:58.100N,123:41.083W,474M,T,Saddle Mountain,
158,45:18.500N,122:19.100W,193M,T,Estacada,
159,45:36.500N,122:11.817W,261M,T,Brown's Cape Hor,
160,45:21.300N,122:16.000W,323M,T,Country Squire,
161,45:37.667N,122:11.067W,386M,T,Sky River Ranch,
162,45:59.600N,122:22.767W,312M,T,Mount ST Helen's,
163,45:24.100N,122:13.700W,190M,T,Sandy River,
164,44:59.117N,122:56.767W,56M,T,Landsem Air,
165,45:03.717N,123:29.167W,95M,T,Roscoes,
166,45:41.900N,123:55.800W,17M,T,Nehalem Bay,
167,44:58.067N,122:56.483W,56M,T,Fly 'N' W,
168,46:17.550N,122:57.017W,72M,T,Cougar Flat,
169,44:56.500N,122:45.750W,197M,T,Iron Crown,
170,44:54.600N,123:00.200W,56M,T,Salem,
171,46:09.683N,123:38.417W,28M,T,Karpens,
172,46:19.750N,122:53.167W,65M,T,Flying K Ranch,
173,46:00.100N,123:54.300W,9M,T,Seaside,
174,44:51.100N,123:11.900W,53M,T,Independence,
175,44:50.900N,123:02.483W,136M,T,Wagoner,
176,44:50.683N,122:54.067W,147M,T,Flying E,
177,45:11.983N,123:57.733W,30M,T,Pacific City,
178,44:51.233N,123:15.817W,85M,T,Marr,
179,44:55.400N,123:34.400W,912M,T,White Radar,
180,44:48.733N,123:09.017W,45M,T,Wigrich,
181,46:09.483N,123:52.717W,0M,T,Astoria,
182,45:43.167N,121:53.167W,435M,T,Key Way,
183,45:40.617N,121:52.733W,19M,T,Cascade Locks,
184,44:48.017N,123:09.367W,52M,T,Fitts,
185,44:47.667N,123:05.850W,46M,T,Davidson,
186,44:49.367N,122:40.783W,364M,T,Basl Hill Farms,
187,44:46.383N,122:50.100W,121M,T,Hatch,
188,44:45.317N,123:02.817W,63M,T,Gilmour Ag Air,
189,44:46.600N,122:45.600W,147M,T,Lone Oaks Ranch,
190,44:46.700N,122:43.800W,162M,T,Kingston,
191,44:43.950N,123:03.333W,59M,T,Wooldridge Agstr,
192,44:43.817N,123:04.550W,57M,T,Lambert,
193,46:28.633N,122:48.417W,106M,T,Toledo,
194,44:43.167N,122:41.967W,216M,T,Gillette,
195,46:31.150N,122:53.400W,145M,T,Pilot's Pastures,
196,46:30.883N,122:47.517W,114M,T,Harris,
197,46:21.367N,123:48.883W,22M,T,Wirkkala,
198,44:40.983N,122:46.967W,116M,T,The Green Trees ,
199,44:39.483N,123:08.567W,107M,T,Hemmingson,
200,46:31.850N,122:41.033W,176M,T,Ethel,
201,46:32.250N,122:43.067W,157M,T,Kadwell,
202,44:39.450N,123:12.717W,91M,T,Flying Tom,
203,44:44.733N,122:25.283W,383M,T,Davis,
204,44:38.317N,123:01.400W,69M,T,Propst,
205,44:38.300N,123:03.500W,65M,T,Albany,
206,46:35.417N,123:06.283W,92M,T,Curtis,
207,44:37.150N,123:01.900W,71M,T,Roppair,
208,44:37.617N,123:13.467W,106M,T,Joyner,
209,44:37.350N,122:45.133W,119M,T,Inspiration,
210,45:38.200N,121:35.467W,401M,T,Green Acres,
211,44:35.583N,122:59.367W,80M,T,Miller,
212,46:37.183N,122:57.900W,110M,T,Hartley,
213,44:35.900N,123:12.400W,64M,T,Winn,
214,46:35.117N,122:37.567W,267M,T,Burnt Ridge,
215,44:35.850N,123:13.983W,72M,T,Dunning Vineyard,
216,46:37.017N,122:49.567W,184M,T,Dwight,
217,45:35.550N,121:32.917W,301M,T,Hanel,
218,44:34.100N,122:58.283W,87M,T,Tallman,
219,44:34.183N,123:10.233W,69M,T,Holiday,
220,45:40.400N,121:32.200W,178M,T,Hood River,
221,44:33.433N,122:49.567W,114M,T,MT Hope,
222,46:35.933N,122:29.017W,427M,T,Bear Canyon West,
223,46:40.600N,122:58.700W,51M,T,Chehalis,
224,44:43.817N,123:54.900W,59M,T,Siletz,
225,44:31.783N,123:05.483W,76M,T,Grells,
226,44:31.783N,122:55.767W,99M,T,Lebanon,
227,45:48.317N,121:30.067W,431M,T,Spring Creek Ran,
228,45:48.117N,121:28.767W,160M,T,Port Elsner,
229,46:43.117N,122:54.667W,87M,T,Skyqueen,
230,44:29.800N,123:17.400W,71M,T,Corvallis,
231,45:57.383N,121:29.867W,562M,T,Bob's,
232,44:28.500N,123:17.333W,73M,T,Venell,
233,44:30.500N,123:33.000W,736M,T,Marys Peak,
234,44:27.000N,123:17.333W,75M,T,Muddy Creek,
235,45:40.883N,121:18.983W,49M,T,Rowena Dell,
236,46:49.483N,123:02.083W,62M,T,Skatter Creek,
237,46:49.967N,123:05.483W,47M,T,R & K Skyranch,
238,45:34.317N,121:16.317W,314M,T,Pointers,
239,45:36.650N,121:16.233W,408M,T,Chenoweth,
240,46:50.417N,122:54.983W,96M,T,Wissler's,
241,46:51.017N,122:56.150W,85M,T,Sorrell,
242,45:35.417N,121:12.850W,285M,T,Honald Ranch,
243,46:50.817N,122:31.317W,179M,T,Cougar Mountain,
244,46:50.600N,122:28.550W,164M,T,Elbow Lake,
245,45:37.117N,121:10.033W,62M,T,Columbia Gorge /,
246,46:52.650N,122:36.067W,133M,T,Flying B,
247,46:53.850N,122:40.167W,145M,T,Taylor,
248,46:55.633N,122:58.100W,56M,T,Cricket,
249,46:55.500N,122:33.233W,95M,T,Western,
250,44:13.400N,123:11.100W,94M,T,Junction City 99,
251,44:07.400N,123:13.117W,106M,T,Eugene,
252,43:55.900N,123:00.300W,156M,T,Creswell,
253,43:47.100N,123:01.700W,196M,T,Cottage Grove,
254,44:19.611N,121:25.987W,864M,T,?2 Airstrips,
255,43:08.000N,118:39.100W,1298M,T,Barton Lake,
256,45:10.500N,120:39.100W,803M,T,Decker,
257,45:31.256N,121:03.682W,267M,T,?Dirt3?,
258,45:01.780N,119:34.110W,1268M,T,Dirt4,
259,45:28.111N,120:13.136W,429M,T,Dirt5,
260,44:57.600N,120:52.800W,949M,T,Gras1,
261,44:26.500N,118:39.100W,1098M,T,Hi Country 2,
262,44:05.100N,119:16.100W,1428M,T,Inshallah,
263,44:01.918N,121:06.593W,1045M,T,Juniper,
264,44:59.991N,120:03.151W,1073M,T,Kinzua,
265,43:03.989N,121:02.873W,1385M,T,Mahogany,
266,45:52.740N,118:24.310W,0M,T,Oregon Sky,
267,45:53.140N,118:26.340W,0M,T,Gras2,
268,43:07.633N,121:02.033W,1318M,T,Red & White,
269,45:45.000N,118:37.000W,491M,T,Rothrock,
270,43:26.600N,120:49.700W,1431M,T,Pave5,
271,44:14.035N,121:23.762W,942M,T,Sage,
272,44:08.500N,118:58.500W,1422M,T,Seneca,
273,44:00.281N,121:16.202W,1135M,T,Stevenson,
274,43:59.715N,121:12.184W,1141M,T,Sundance,
275,43:13.170N,120:49.992W,1316M,T,Table Rock,
276,43:15.500N,119:52.000W,1546M,T,Wagontire,
277,44:30.500N,119:22.000W,1390M,T,?Wileycreek,
278,44:33.100N,121:24.000W,733M,T,3 Rivers,
279,45:23.200N,120:27.600W,573M,T,Ajax,
280,44:38.269N,123:03.567W,62M,T,Albany Muni,
281,43:05.242N,119:58.564W,1312M,T,Alkali Lake,
282,45:42.991N,120:10.069W,170M,T,Arlington,
283,46:09.478N,123:52.722W,0M,T,Astoria Regional,
284,45:48.100N,118:33.000W,509M,T,Athena,
285,45:14.828N,122:46.203W,58M,T,Aurora,
286,43:07.741N,121:49.068W,1420M,T,Beaver Marsh,
287,44:05.690N,121:12.038W,1026M,T,Bend Muni,
288,44:50.500N,120:29.500W,578M,T,Big Muddy,
289,45:48.889N,119:49.230W,97M,T,Boardman,
290,43:35.528N,118:57.299W,1258M,T,Burns Muni,
291,45:39.300N,119:24.000W,330M,T,Buttercreek,
292,45:06.033N,118:49.016W,1147M,T,Cable Creek,
293,45:40.617N,121:52.733W,19M,T,Cascade Locks,
294,45:19.424N,123:03.256W,90M,T,Chehalem,
295,45:35.921N,121:15.955W,198M,T,Chenowith,
296,43:14.192N,120:39.966W,1315M,T,Christmas Valley,
297,44:39.974N,121:09.786W,719M,T,City-County,
298,44:16.100N,121:16.150W,900M,T,Cline Falls,
299,45:14.791N,120:09.985W,860M,T,Condon Pauling,
300,44:45.500N,120:11.100W,541M,T,Nearby Fields 1,
301,45:09.000N,120:35.100W,663M,T,Compressor,
302,44:29.832N,123:17.390W,71M,T,Corvallis,
303,43:47.991N,123:01.738W,191M,T,Cottage Grove,
304,45:21.267N,122:16.083W,321M,T,Country Squire,
305,43:31.957N,121:57.002W,1470M,T,Crescent Lake,
306,45:37.113N,121:10.041W,62M,T,Dalles,
307,44:44.741N,122:25.288W,383M,T,Davis,
308,44:52.380N,119:56.390W,921M,T,Dirt1,
309,45:34.300N,120:30.600W,408M,T,Dirt2,
310,45:12.000N,120:35.500W,791M,T,Dirt4,
311,44:12.000N,120:48.100W,1177M,T,Dry Creek,
312,45:26.500N,121:09.100W,541M,T,Fargher,
313,45:38.300N,121:35.400W,380M,T,Strip1,
314,43:13.490N,123:23.821W,126M,T,George Felt,
315,44:05.100N,120:56.000W,1044M,T,Goering,
316,44:06.100N,121:19.500W,1034M,T,Gopher Gulch,
317,44:24.250N,118:57.750W,918M,T,Grant County/Ogi,
318,45:35.500N,121:32.500W,308M,T,Hanel,
319,43:29.000N,123:20.100W,219M,T,Heavens Gate,
320,45:49.693N,119:15.550W,137M,T,Hermiston,
321,43:55.924N,123:00.405W,156M,T,Hobby Field,
322,45:40.357N,121:32.188W,177M,T,Hood River,
323,44:52.006N,123:11.895W,54M,T,Independence,
324,44:31.791N,122:55.772W,99M,T,Lebanon,
325,45:10.824N,122:44.606W,35M,T,Lenhardt,
326,45:27.158N,119:41.318W,433M,T,Lexington,
327,44:31.157N,121:19.236W,808M,T,Lake Billy Chino,
328,44:39.540N,119:39.830W,980M,T,Longview,
329,45:24.000N,121:16.100W,732M,T,Lyda,
330,44:07.396N,123:13.121W,106M,T,Mahlon Sweet Fie,
331,45:11.667N,123:08.157W,49M,T,McMinnville,
332,44:10.991N,122:05.320W,989M,T,McKenzie Bridge,
333,44:54.572N,123:00.150W,56M,T,McNary,
334,45:29.400N,118:24.000W,0M,T,Meacham,
335,44:49.909N,119:25.816W,977M,T,?Monument,
336,42:59.907N,123:18.571W,486M,T,Myrtle Creek,
337,44:59.939N,120:12.760W,813M,T,Nearby Fields,
338,45:41.890N,123:55.791W,17M,T,Nehalem Bay,
339,45:06.100N,121:13.000W,612M,T,Nelson,
340,45:37.500N,123:01.000W,115M,T,North Plains,
341,43:45.157N,122:30.153W,551M,T,Oakridge,
342,44:47.500N,120:57.500W,765M,T,Ochs,
343,45:11.990N,123:57.740W,33M,T,Pacific,
344,45:47.560N,118:29.160W,510M,T,Pave2,
345,45:41.703N,118:50.487W,440M,T,Pendleton,
346,44:02.100N,121:16.000W,1120M,T,Pilot Butte,
347,45:16.300N,121:17.500W,645M,T,Pine Hollow,
348,44:01.300N,118:56.000W,1403M,T,Ponderosa,
349,45:35.323N,122:35.850W,3M,T,Portland X,
350,45:12.979N,122:35.405W,76M,T,Portland-Mulino,
351,44:17.220N,120:54.230W,985M,T,Prineville,
352,45:32.424N,122:56.990W,61M,T,Portland-Hillsbo,
353,45:32.962N,122:24.075W,5M,T,Portland-Troutda,
354,42:56.000N,123:07.000W,380M,T,Riverview,
355,44:15.244N,121:08.998W,911M,T,Roberts Field,
356,43:14.327N,123:21.352W,200M,T,Roseburg,
357,45:41.216N,121:19.693W,20M,T,Rowena Dell,
358,45:24.107N,122:13.722W,188M,T,Sandy River,
359,44:26.073N,121:56.537W,1280M,T,Santiam Junction,
